Pair_ID,Pair_label,Nigeria_status,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_midpoint_Mb,FST,N_sites,Site_class,Background_median_FST,MAD_scale,Robust_threshold,Robust_outlier,FST_excess_over_median,robust_z,Low_site_count
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:28200685-29200684,28200685,29200684,24.5,0.0493537621317644,40164,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,True,0.0487033387070127,50.50548713875021,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:29200685-30200684,29200685,30200684,23.5,0.0010330731341933,15604,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,0.00038264970944159996,0.39680872999506567,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:30200685-31200684,30200685,31200684,22.5,0.0002066551791601,41533,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-0.0004437682455916,-0.46018880872093343,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:31200685-32200684,31200685,32200684,21.5,0.001212251809564,31667,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,0.0005618283848123,0.5826174758577014,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:32200685-33200684,32200685,33200684,20.5,0.0001591683757181,8177,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-0.0004912550490336,-0.5094327456700641,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:33200685-34200684,33200685,34200684,19.5,0.002137144195506,28262,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,0.0014867207707543,1.5417332519635332,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:34200685-35200684,34200685,35200684,18.5,0.000128636113838,31170,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-0.0005217873109137,-0.5410947795396294,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:35200685-36200684,35200685,36200684,17.5,0.0,55922,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-0.0006504234247517,-0.6744907594765952,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:36200685-37200684,36200685,37200684,16.5,0.0006269715339049,50124,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-2.3451890846799936e-05,-0.024319670950441054,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:37200685-38200684,37200685,38200684,15.5,0.0,40318,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-0.0006504234247517,-0.6744907594765952,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:38200685-39200684,38200685,39200684,14.5,0.0006504234247517,15162,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,0.0,0.0,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,3R,3R:39200685-40200684,39200685,40200684,13.5,1.743822251704557e-06,4046,0-fold,0.0006504234247517,0.0009643177695368703,0.003543376733362311,False,-0.0006486796024999954,-0.6726824113295502,False
